numero_inscription,nom,prenom,date_naissance,adresse,mail,telephone,section,niveau_etude
12727455,ababssi,kassem,1/1/2000,feriana,kassem@gmail.com,20259607,Cycle Préparatoire intégrée,1 ére année
11111111,abbassi,ahmed,10/13/1998,feriana,ahmed@gmail.com,26748403,License Tic,1 ére année
22222222,abbassi,wafa,12/13/2000,feriana,wafa@gmail.com,25252525,Ingénieur électronique,3 éme année
33333333,saadaoui,ilyass,12/13/2000,kasserine,iyass@gmail.com,55555555,Ingénieur électronique,3 éme année
44444444,touati,yamen,12/13/2000,kasserine,yamen@gmail.com,99999999,Ingéniuer Informatique,3 éme année
77777777,tlili,oudai,12/13/2000,kasserine,oudai@gmail.com,50609070,Cycle Préparatoire intégrée,2 éme année
15151515,aloui,moataz,12/13/2000,kasserine,aloui@gmail.com,40102030,Cycle Préparatoire intégrée,1 ére année
19191919,toraa,mazen,12/13/2000,rasjbal,mazen@gmail.com,58877447,Cycle Préparatoire intégrée,1 ére année
26262626,lamari,achref,12/13/2000,mednine,achref@gmail.com,48484848,Cycle Préparatoire intégrée,1 ére année
28282828,dinari,karim,12/13/2000,metlaoui,karim@gmail.com,29518043,Cycle Préparatoire intégrée,1 ére année
10101010,hadden,chouayb,12/13/2000,feriana,chaouyb@gmail.com,44556677,License Info,3 éme année
66445577,hamzaoui,khaled,1/1/2000,kairaouan,khled@gmail.com,25825825,License Tic,1 ére année
78787878,abbassi,mohamed,1/1/2000,tunis,mohamed@gmail.com,29292929,Cycle Préparatoire intégrée,1 ére année
13131313,massoudi,jawher,1/1/2000,sidibouzid,jawher@gmail.com,44445555,License électronique,1 ére année
18181818,nasri,aman,1/1/2000,haylkebda,aman@gmail.com,49494949,Ingéniuer Informatique,1 ére année
16161616,hadden,nour,1/1/2000,sansadresse,nour@gmail.com,97979797,License électronique,1 ére année
25252525,saadoui,khalil,1/1/2000,feriana,khalil@gmail.com,22222222,License Info,1 ére année
15415415,jebri,ahmed,1/1/2000,feriana,ahmedjebri@gmail.com,45454844,License électronique,1 ére année
29292929,barhoumi,dali,1/1/2000,sousse,dali@gmail.com,92507252,Cycle Préparatoire intégrée,1 ére année
38383838,barhoumi,ikhlass,1/1/2000,sousse,ikhlass@gmail.com,92507232,Ingéniuer Informatique,1 ére année
